predicted class,x,y
Nasion,345.0,194.0
Sella,209.0,181.5
Porion,161.0,213.5
Orbitale,317.0,245.0
Pterygoid,233.5,229.5
Basion,145.5,261.0
ANS,333.0,309.5
PNS,225.5,289.5
A point,321.5,325.0
B point,301.0,397.5
Protuberance menti,301.5,417.5
Pogonion,301.0,425.5
Menton,285.5,441.5
Go-1 Corpuus left,174.0,381.5
Go-2 Ramus down,169.0,273.0
Articulare,168.5,245.5
R3,205.0,265.5
R1,225.0,313.0
Maxilla 1 crown,321.0,373.0
Maxilla 1 root,313.5,325.5
Mandible 1 crown,313.5,365.5
Mandible 1 root,297.5,393.5
Maxilla 6 distal,249.0,337.5
Maxilla 6 root,265.0,309.5
Mandible 6 distal,249.0,345.0
Mandible 6 root,245.5,376.5
Soft tissue naison,349.5,212.5
Dorsum of nose,377.5,277.5
pronasale,385.0,301.5
Colunella,372.5,320.5
Subnasalle,349.0,325.5
Soft tissue A point,349.5,333.0
Labrale superius,349.5,353.5
Upper lip,353.0,365.0
Stms,337.5,373.5
Upper embrasure,325.0,366.0
Lower embrasure,317.0,369.0
Stmi,333.5,373.0
Lower lip,341.5,385.0
Labial Inferius,337.0,393.0
Soft tissue b point,325.0,405.0
Soft tissue pogonion,328.5,429.0
Soft tissue Gnathion,313.0,449.5
Soft tissue Menton,289.0,453.5
Nasion,362.0,137.0
Sella,241.0,169.0
Porion,209.5,209.5
Orbitale,353.0,189.0
Pterygoid,277.5,197.5
Basion,217.5,245.5
ANS,377.5,229.5
PNS,293.0,245.5
A point,373.0,245.0
B point,377.0,325.0
Protuberance menti,381.5,337.0
Pogonion,385.0,345.0
Menton,373.5,361.5
Go-1 Corpuus left,269.0,321.5
Go-2 Ramus down,240.5,249.0
Articulare,233.0,229.5
R3,269.0,240.5
R1,297.0,269.0
Maxilla 1 crown,389.5,289.0
Maxilla 1 root,366.0,249.0
Mandible 1 crown,381.5,285.5
Mandible 1 root,374.0,321.5
Maxilla 6 distal,321.0,281.5
Maxilla 6 root,325.5,249.0
Mandible 6 distal,325.0,289.0
Mandible 6 root,321.5,321.0
Glabella,373.0,121.0
Soft tissue naison,373.5,153.0
Dorsum of nose,398.0,197.0
pronasale,408.5,213.5
Colunella,401.5,230.0
Subnasalle,393.5,237.5
Soft tissue A point,393.5,241.0
Labrale superius,401.5,261.5
Upper lip,405.0,269.5
Stms,401.0,285.0
Upper embrasure,389.5,282.0
Lower embrasure,389.5,289.0
Stmi,397.0,285.0
Lower lip,405.0,297.0
Labial Inferius,405.0,305.5
Soft tissue b point,401.0,321.0
Soft tissue pogonion,405.0,345.0
Soft tissue Gnathion,393.0,369.0
Soft tissue Menton,377.5,377.0
Cervical point,325.0,397.0
Nasion,345.0,185.0
Sella,214.0,189.0
Porion,169.5,217.5
Orbitale,321.5,237.0
Pterygoid,249.5,221.5
Basion,165.5,261.0
ANS,345.0,289.5
PNS,249.0,277.0
A point,333.0,297.0
B point,317.0,373.5
Protuberance menti,321.0,385.0
Pogonion,321.5,393.5
Menton,309.5,409.5
Go-1 Corpuus left,197.5,357.5
Go-2 Ramus down,185.0,269.0
Articulare,181.5,249.5
R3,221.0,261.5
R1,245.5,301.5
Maxilla 1 crown,337.0,341.0
Maxilla 1 root,326.0,301.0
Mandible 1 crown,330.0,337.5
Mandible 1 root,314.0,365.5
Maxilla 6 distal,269.0,317.0
Maxilla 6 root,281.0,293.0
Mandible 6 distal,268.5,324.5
Mandible 6 root,261.0,353.0
Glabella,365.5,165.5
Soft tissue naison,353.5,201.0
Dorsum of nose,378.0,257.0
pronasale,385.0,278.0
Colunella,376.5,293.0
Subnasalle,361.5,297.5
Soft tissue A point,357.0,301.0
Labrale superius,361.5,321.5
Upper lip,365.0,329.5
Stms,353.5,337.5
Upper embrasure,337.5,334.5
Lower embrasure,333.0,341.0
Stmi,349.5,337.5
Lower lip,357.0,349.0
Labial Inferius,352.5,357.5
Soft tissue b point,345.0,369.0
Soft tissue pogonion,349.0,393.0
Soft tissue Gnathion,341.0,417.5
Soft tissue Menton,309.5,425.0
Cervical point,245.0,429.5
Nasion,349.0,181.5
Sella,217.0,185.0
Porion,173.0,217.5
Orbitale,322.0,233.0
Pterygoid,253.5,221.5
Basion,165.5,261.0
ANS,345.0,285.5
PNS,249.5,277.0
A point,333.5,297.0
B point,317.5,369.5
Protuberance menti,321.0,381.0
Pogonion,321.0,393.5
Menton,309.0,409.0
Go-1 Corpuus left,197.5,353.0
Go-2 Ramus down,185.0,268.5
Articulare,184.5,245.0
R3,221.5,261.0
R1,249.5,301.0
Maxilla 1 crown,337.5,341.0
Maxilla 1 root,326.0,300.5
Mandible 1 crown,330.0,337.0
Mandible 1 root,314.0,365.5
Maxilla 6 distal,269.5,314.0
Maxilla 6 root,281.0,289.5
Mandible 6 distal,269.0,324.5
Mandible 6 root,261.5,353.0
Glabella,365.5,165.5
Soft tissue naison,357.5,201.5
Dorsum of nose,380.5,257.5
pronasale,388.5,277.0
Colunella,377.0,293.0
Subnasalle,361.5,297.5
Soft tissue A point,361.5,301.5
Labrale superius,365.0,317.5
Upper lip,368.0,325.5
Stms,353.0,337.0
Upper embrasure,341.0,334.0
Lower embrasure,337.0,337.0
Stmi,349.0,337.5
Lower lip,357.0,349.0
Labial Inferius,353.0,353.0
Soft tissue b point,345.0,369.5
Soft tissue pogonion,348.5,393.0
Soft tissue Gnathion,341.0,417.0
Soft tissue Menton,309.5,421.0
Cervical point,245.0,429.5
Nasion,377.5,165.5
Sella,261.5,181.5
Porion,225.5,213.5
Orbitale,361.0,214.0
Pterygoid,297.5,209.5
Basion,221.5,249.5
ANS,385.5,250.0
PNS,301.5,253.0
A point,377.0,261.0
B point,374.0,325.0
Protuberance menti,377.5,337.5
Pogonion,377.5,345.0
Menton,365.0,353.5
Go-1 Corpuus left,273.5,313.0
Go-2 Ramus down,248.5,253.0
Articulare,240.5,233.0
R3,277.0,245.0
R1,301.5,273.0
Maxilla 1 crown,389.0,297.0
Maxilla 1 root,374.0,261.0
Mandible 1 crown,381.5,293.5
Mandible 1 root,370.0,325.5
Maxilla 6 distal,313.5,281.5
Maxilla 6 root,328.5,253.5
Mandible 6 distal,313.5,289.0
Mandible 6 root,305.0,317.5
Glabella,393.0,149.0
Soft tissue naison,385.5,181.5
Dorsum of nose,410.0,221.0
pronasale,418.0,237.5
Colunella,413.0,249.5
Subnasalle,401.0,257.5
Soft tissue A point,397.5,261.0
Labrale superius,405.5,273.5
Upper lip,408.0,281.5
Stms,401.0,293.0
Upper embrasure,389.5,290.0
Lower embrasure,385.5,297.0
Stmi,397.0,293.0
Lower lip,401.0,301.0
Labial Inferius,401.0,309.0
Soft tissue b point,393.0,321.0
Soft tissue pogonion,396.5,341.0
Soft tissue Gnathion,388.5,361.0
Soft tissue Menton,369.5,369.0
Cervical point,309.0,369.0
Nasion,384.5,153.5
Sella,273.5,173.0
Porion,237.0,205.0
Orbitale,369.0,205.5
Pterygoid,301.5,201.5
Basion,233.5,241.5
ANS,393.5,250.0
PNS,309.5,249.5
A point,385.5,261.0
B point,385.0,341.0
Protuberance menti,389.5,357.0
Pogonion,389.5,365.0
Menton,378.0,377.5
Go-1 Corpuus left,281.0,317.0
Go-2 Ramus down,257.0,245.5
Articulare,253.0,225.5
R3,288.5,240.5
R1,313.0,273.5
Maxilla 1 crown,397.5,305.0
Maxilla 1 root,377.5,265.0
Mandible 1 crown,390.0,297.5
Mandible 1 root,382.0,337.5
Maxilla 6 distal,333.0,285.5
Maxilla 6 root,341.0,257.5
Mandible 6 distal,337.0,293.0
Mandible 6 root,329.0,325.0
Glabella,397.0,137.0
Soft tissue naison,393.5,169.0
Dorsum of nose,426.0,217.0
pronasale,430.0,237.5
Colunella,424.5,249.0
Subnasalle,409.0,257.5
Soft tissue A point,405.0,261.0
Labrale superius,413.0,277.5
Upper lip,417.0,285.5
Stms,409.0,297.5
Upper embrasure,397.5,297.5
Lower embrasure,393.5,301.0
Stmi,405.0,297.5
Lower lip,421.0,317.0
Labial Inferius,421.0,325.0
Soft tissue b point,413.0,337.0
Soft tissue pogonion,417.0,365.0
Soft tissue Gnathion,405.0,385.0
Soft tissue Menton,377.5,393.0
Cervical point,321.5,393.0
Nasion,378.0,169.0
Sella,249.5,181.5
Porion,209.5,221.5
Orbitale,365.5,217.5
Pterygoid,282.0,217.0
Basion,209.5,257.5
ANS,381.5,261.5
PNS,285.0,265.5
A point,373.0,273.0
B point,361.0,349.0
Protuberance menti,361.0,365.0
Pogonion,361.0,373.0
Menton,349.5,389.5
Go-1 Corpuus left,253.0,333.5
Go-2 Ramus down,229.0,265.5
Articulare,225.0,245.5
R3,261.0,260.5
R1,289.5,289.0
Maxilla 1 crown,381.5,320.5
Maxilla 1 root,365.5,277.5
Mandible 1 crown,378.0,317.0
Mandible 1 root,358.0,341.5
Maxilla 6 distal,313.0,301.5
Maxilla 6 root,325.0,273.0
Mandible 6 distal,313.0,309.0
Mandible 6 root,309.0,337.0
Glabella,393.5,153.0
Soft tissue naison,390.0,185.0
Dorsum of nose,413.0,233.5
pronasale,417.5,250.0
Colunella,409.0,265.5
Subnasalle,397.5,269.5
Soft tissue A point,393.0,276.5
Labrale superius,401.0,293.5
Upper lip,404.0,305.5
Stms,397.0,316.5
Upper embrasure,385.5,314.0
Lower embrasure,381.5,317.0
Stmi,393.0,317.0
Lower lip,397.0,329.0
Labial Inferius,393.0,337.0
Soft tissue b point,385.5,349.0
Soft tissue pogonion,381.0,373.5
Soft tissue Gnathion,372.5,393.0
Soft tissue Menton,353.5,401.0
Cervical point,308.5,421.0
Nasion,389.5,156.5
Sella,277.0,181.5
Porion,241.5,221.5
Orbitale,377.0,213.5
Pterygoid,309.0,213.5
Basion,237.5,257.5
ANS,405.0,261.5
PNS,313.0,261.5
A point,393.5,273.5
B point,401.0,349.5
Protuberance menti,405.5,361.0
Pogonion,405.5,369.0
Menton,393.5,381.0
Go-1 Corpuus left,285.5,337.5
Go-2 Ramus down,265.0,261.0
Articulare,261.0,237.0
R3,288.5,253.0
R1,313.0,285.0
Maxilla 1 crown,409.5,313.0
Maxilla 1 root,385.5,277.5
Mandible 1 crown,402.0,309.5
Mandible 1 root,397.5,342.0
Maxilla 6 distal,337.0,298.0
Maxilla 6 root,349.0,273.0
Mandible 6 distal,337.5,308.5
Mandible 6 root,329.5,337.5
Glabella,405.0,137.0
Soft tissue naison,401.5,173.5
Dorsum of nose,437.0,225.0
pronasale,445.0,250.0
Colunella,436.5,265.0
Subnasalle,421.0,269.5
Soft tissue A point,417.0,277.0
Labrale superius,425.0,289.5
Upper lip,429.5,297.5
Stms,425.0,309.0
Upper embrasure,409.5,309.5
Lower embrasure,409.5,313.0
Stmi,421.0,309.5
Lower lip,429.0,321.5
Labial Inferius,429.0,325.0
Soft tissue b point,421.0,341.5
Soft tissue pogonion,429.0,369.5
Soft tissue Gnathion,417.0,389.0
Soft tissue Menton,393.5,397.0
Cervical point,321.5,409.0
Nasion,381.5,153.5
Sella,261.5,173.0
Porion,217.5,213.0
Orbitale,369.0,208.5
Pterygoid,293.5,205.5
Basion,221.5,253.5
ANS,401.5,253.5
PNS,301.0,257.5
A point,389.0,265.5
B point,385.5,341.5
Protuberance menti,385.5,353.0
Pogonion,389.0,365.0
Menton,377.5,377.0
Go-1 Corpuus left,277.5,333.5
Go-2 Ramus down,241.0,257.5
Articulare,237.0,237.5
R3,273.5,245.5
R1,305.0,281.5
Maxilla 1 crown,397.5,309.0
Maxilla 1 root,381.5,273.0
Mandible 1 crown,393.5,305.5
Mandible 1 root,377.5,337.5
Maxilla 6 distal,325.5,293.0
Maxilla 6 root,337.0,265.0
Mandible 6 distal,329.0,301.0
Mandible 6 root,321.0,333.5
Glabella,397.5,133.5
Soft tissue naison,394.0,169.0
Dorsum of nose,430.0,217.0
pronasale,437.5,237.0
Colunella,429.0,254.0
Subnasalle,417.5,261.5
Soft tissue A point,417.0,265.5
Labrale superius,421.5,281.5
Upper lip,424.5,293.5
Stms,413.0,305.5
Upper embrasure,401.0,302.0
Lower embrasure,397.5,309.0
Stmi,409.5,309.0
Lower lip,417.0,321.5
Labial Inferius,413.5,329.5
Soft tissue b point,405.5,341.5
Soft tissue pogonion,408.5,365.0
Soft tissue Gnathion,401.0,381.5
Soft tissue Menton,377.5,393.0
Cervical point,317.0,393.5
Nasion,353.5,169.0
Sella,209.5,177.0
Porion,162.0,213.0
Orbitale,325.5,225.0
Pterygoid,245.0,214.0
Basion,157.5,257.0
ANS,353.5,285.5
PNS,245.0,273.5
A point,341.5,297.5
B point,321.0,385.0
Protuberance menti,317.5,405.5
